Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Number of VSEditor Fixations, Number of VSExplorer Fixations, Number of VSOutput Fixations, Number of Short Saccades, Number of Medium Saccades, Number of Long Saccades, Follow Direction Count, Neighbouring Direction Count, Opposite Direction Count, Sector4 Right Count, Sector4 Up Count, Sector4 Left Count, Sector4 Down Count
392.974358974359, 17278.4921763869, 131.447678474695, 2.53333333333333, -0.0230487255238117, 0, 0, 0, 33, 3, 1, 22, 0, 14, 28, 0, 9, 0, READ
411.054054054054, 33292.1992063492, 182.4615006141, 2.4, -0.0284951485341451, 0, 0, 0, 31, 2, 2, 20, 0, 14, 28, 0, 7, 0, READ
408.605263157895, 31261.8453453454, 176.810195818412, 2.46666666666667, -0.0456265250150291, 0, 0, 0, 32, 2, 2, 22, 4, 9, 28, 1, 5, 2, READ
452.514285714286, 81134.9376114082, 284.841951986375, 2.26666666666667, -0.0462483157027268, 0, 0, 0, 29, 3, 1, 19, 3, 10, 25, 1, 5, 2, READ
459.515151515152, 88943.5322580645, 298.234022636695, 2.13333333333333, -0.405485746957265, 0, 0, 0, 25, 4, 2, 16, 0, 14, 24, 0, 7, 0, READ
379.176470588235, 27375.85, 165.456489748816, 2.66666666666667, -0.657709607935127, 0, 0, 0, 11, 3, 1, 6, 0, 8, 11, 0, 4, 0, READ
518.275862068965, 306925.878306878, 554.008915367685, 1.86666666666667, -0.268205888385159, 0, 0, 0, 18, 5, 4, 8, 9, 9, 14, 3, 7, 3, SEARCH
474.0625, 277832.303225807, 527.09800153843, 2.06666666666667, 0.44543343215309, 0, 0, 0, 18, 6, 6, 6, 13, 10, 12, 5, 7, 6, SEARCH
450.617647058824, 73081.5170454545, 270.335933692609, 2.2, 0.376892584820109, 0, 0, 0, 19, 8, 5, 10, 10, 11, 17, 3, 9, 3, SEARCH
509.066666666667, 107264.600985222, 327.512749347597, 1.93333333333333, 0.68365909640111, 0, 0, 0, 21, 4, 3, 9, 6, 12, 17, 1, 8, 2, SEARCH
459.333333333333, 56161.3185483871, 236.983793851789, 2.13333333333333, -0.0378275238331403, 0, 0, 0, 26, 4, 1, 15, 1, 14, 23, 0, 7, 1, SEARCH
403.289473684211, 19606.8243243243, 140.024370465731, 2.46666666666667, 0.0555562888496881, 0, 0, 0, 24, 11, 1, 12, 2, 21, 23, 1, 10, 2, SEARCH
419.555555555556, 38512.843697479, 196.24689474608, 2.33333333333333, 0.182167396935883, 0, 0, 0, 22, 10, 2, 11, 6, 16, 18, 3, 10, 3, SEARCH
418.722222222222, 39310.2806722689, 198.268203886223, 2.33333333333333, 0.638615817986366, 0, 0, 0, 27, 5, 2, 11, 9, 13, 18, 3, 9, 4, SEARCH
369.878048780488, 14468.3685897436, 120.284531797499, 2.66666666666667, 1.45517695383045, 0, 0, 0, 28, 8, 3, 9, 12, 17, 21, 3, 10, 5, SEARCH
395.333333333333, 28963.8207681366, 170.187604625415, 2.53333333333333, 0.239279665403282, 0, 0, 0, 23, 11, 3, 7, 9, 20, 19, 3, 11, 4, SEARCH
474.53125, 105599.739784946, 324.961135806955, 2.06666666666667, -0.3918549703261, 0, 0, 0, 17, 8, 5, 5, 11, 13, 13, 3, 10, 4, SEARCH
478.875, 97875.4924731183, 312.85059129418, 2.06666666666667, 1.00685252947253, 0, 0, 0, 16, 6, 8, 2, 19, 8, 9, 6, 9, 6, SEARCH
421.916666666667, 42167.087394958, 205.346262188913, 2.33333333333333, 2.07317219396297, 0, 0, 0, 23, 5, 6, 5, 15, 13, 14, 5, 10, 5, SEARCH
508.033333333333, 178875.041871921, 422.936214897615, 1.93333333333333, 1.08827679279936, 0, 0, 0, 18, 7, 3, 4, 11, 12, 11, 3, 11, 3, SEARCH
494.967741935484, 157634.740229885, 397.032417102036, 2, 0.160312851437761, 0, 0, 0, 16, 12, 1, 7, 6, 15, 15, 3, 9, 2, SEARCH
414.447368421053, 35822.512012012, 189.268359775246, 2.46666666666667, 0.0520546059522444, 0, 0, 0, 24, 11, 1, 16, 1, 18, 22, 1, 13, 0, SEARCH
474.9375, 53524.3978494624, 231.35340466365, 2.06666666666667, 0.126599937321081, 0, 0, 0, 23, 4, 3, 10, 8, 11, 14, 4, 10, 2, SEARCH
548.275862068965, 112738.571428571, 335.765649566139, 1.86666666666667, 0.847925272138056, 0, 0, 0, 17, 6, 4, 7, 8, 11, 13, 4, 8, 2, SEARCH
458.181818181818, 99338.3225806452, 315.179825783068, 2.13333333333333, 0.647028416444134, 0, 0, 0, 18, 10, 3, 8, 8, 14, 16, 3, 8, 4, SEARCH
371.975609756098, 21011.7942307692, 144.954455712024, 2.66666666666667, 0.255929571239419, 0, 0, 0, 30, 8, 1, 10, 5, 23, 23, 2, 11, 3, SEARCH
449.722222222222, 67124.0168067227, 259.083030719348, 2.1875, 0.597052906921237, 0, 0, 0, 23, 4, 7, 7, 6, 20, 13, 4, 11, 6, SEARCH
490.71875, 105213.322580645, 324.366031792241, 2.06666666666667, 0.93819923718234, 0, 0, 0, 15, 9, 6, 6, 8, 15, 10, 5, 9, 6, SEARCH
453.558823529412, 60607.0928030303, 246.185078351695, 2.2, 0.588011365279818, 0, 0, 0, 18, 10, 4, 8, 8, 15, 16, 3, 10, 3, SEARCH
429.194444444444, 25237.9613445378, 158.864600665277, 2.33333333333333, 0.771616738782539, 0, 0, 0, 22, 8, 4, 12, 6, 15, 20, 4, 9, 1, SEARCH
506.433333333333, 220330.596059113, 469.393860269937, 1.93333333333333, 0.805071067427808, 0, 0, 0, 17, 8, 3, 10, 2, 15, 17, 2, 6, 3, SEARCH
495, 212474.603448276, 460.949675613592, 2, 0.285249315501999, 0, 0, 0, 20, 6, 3, 8, 8, 12, 11, 2, 10, 6, SEARCH
413.135135135135, 37908.4158730159, 194.700836857513, 2.4, 0.234920984155475, 0, 0, 0, 28, 4, 3, 10, 12, 12, 16, 3, 11, 5, SEARCH
418.416666666667, 41958.7697478992, 204.838399105, 2.33333333333333, 0.35057701490685, 0, 0, 0, 23, 7, 4, 6, 14, 13, 16, 4, 9, 5, SEARCH
436.105263157895, 126070.043543544, 355.063435942852, 2.3125, 0.560878037156377, 0, 0, 0, 22, 9, 5, 7, 17, 11, 14, 6, 11, 5, SEARCH
429.342857142857, 133320.029411765, 365.130154070798, 2.26666666666667, 0.680731138847085, 0, 0, 0, 19, 9, 5, 8, 9, 15, 16, 5, 11, 1, SEARCH
495.451612903226, 367262.240229885, 606.021649967957, 2, 0.585132372409098, 0, 0, 0, 15, 8, 6, 8, 8, 12, 15, 2, 10, 2, SEARCH
460.393939393939, 341789.918346774, 584.628017073057, 2.13333333333333, 1.53036446742831, 0, 0, 0, 22, 5, 4, 7, 10, 13, 14, 2, 11, 4, SEARCH
370.585365853659, 13852.0282051282, 117.694639661831, 2.66666666666667, 0.67396765511004, 0, 0, 0, 28, 9, 2, 9, 7, 22, 20, 3, 14, 2, SEARCH
395, 28153.5967283073, 167.790335622488, 2.53333333333333, 0.406012324579267, 0, 0, 0, 28, 6, 3, 11, 6, 19, 18, 2, 15, 2, SEARCH
435.342857142857, 82241.4019607843, 286.777617607763, 2.26666666666667, 0.630787983800903, 0, 0, 0, 23, 3, 7, 10, 10, 12, 14, 3, 12, 4, SEARCH
405.736842105263, 70925.0480480481, 266.317569919914, 2.46666666666667, 0.573993980548376, 0, 0, 0, 26, 7, 3, 7, 9, 19, 13, 5, 12, 6, SEARCH
