Fixation Duration (mean), Fixation Duration (variance), Fixation Duration (standard deviation), Fixation Rate (per second), Fixation Slope, Activity
385.605263157895, 29429.1106306306, 171.549149314797, 2.58620689655172, -0.440703224752898, DEBUG
383.089743589744, 29063.1930963773, 170.479304011887, 2.6551724137931, -0.412511549567598, DEBUG
375.8875, 26360.7189224278, 162.359843934477, 2.63333333333333, -0.387335075244656, DEBUG
379.303797468354, 26324.9978354978, 162.249800725603, 2.68965517241379, -0.370843632501249, DEBUG
368.8375, 23772.7403440441, 154.184111840501, 2.72413793103448, -0.434411948931857, DEBUG
368.775, 23235.6858162934, 152.432561535564, 2.72413793103448, -0.38163337411066, DEBUG
369.197530864198, 23804.6099683544, 154.287426475246, 2.75862068965517, -0.384228405384541, DEBUG
375.9125, 25877.8902953587, 160.866063218314, 2.63333333333333, -0.399117942054286, DEBUG
383.666666666667, 25451.0727956254, 159.533923651446, 2.6551724137931, -0.3734939525721, DEBUG
379.088607594937, 25025.5038295038, 158.194512640306, 2.68965517241379, -0.258128918959353, DEBUG
376.240506329114, 25237.6192141192, 158.86352386284, 2.68965517241379, -0.273079510408937, DEBUG
385.696202531646, 27771.3759573759, 166.647460098784, 2.6, -0.283947798183368, DEBUG
380.076923076923, 26466.5393028025, 162.685399783762, 2.6551724137931, -0.250807856520179, DEBUG
375.278481012658, 26030.3165168165, 161.3391351062, 2.68965517241379, -0.146786111194787, DEBUG
373.175, 25859.0152547874, 160.807385572888, 2.72413793103448, -0.0690173091496818, DEBUG
378.4375, 26178.2551119766, 161.796956436073, 2.63333333333333, -0.0310470263843369, DEBUG
385.205128205128, 26578.2194121668, 163.028277952528, 2.56666666666667, -0.0652865171993081, DEBUG
385.346153846154, 26462.046479836, 162.671590881247, 2.56666666666667, -0.163979295767404, DEBUG
380.556962025316, 25441.6257076257, 159.50431250479, 2.6, -0.168699431547468, DEBUG
385.051282051282, 25397.0762132604, 159.364601506296, 2.56666666666667, -0.140175301647078, DEBUG
383.717948717949, 25221.5806561859, 158.813036795428, 2.6551724137931, 0.00493186767149335, DEBUG
384.645569620253, 25810.8186813187, 160.657457596337, 2.6, 0.0511346524323001, DEBUG
378.0375, 23960.070756248, 154.790409122297, 2.63333333333333, 0.163957760136044, DEBUG
377.493670886076, 24374.7965367965, 156.124298354857, 2.68965517241379, 0.190252050399319, DEBUG
375.375, 21894.753002272, 147.968756845058, 2.63333333333333, 0.25686063712945, DEBUG
375.25, 20950.5384615385, 144.743008333869, 2.63333333333333, 0.30710127175811, DEBUG
374.259259259259, 20602.6922468354, 143.536379523922, 2.66666666666667, 0.302809997045808, DEBUG
367.185185185185, 18779.7715189873, 137.03930647441, 2.75862068965517, 0.299047578144384, DEBUG
370.469135802469, 20607.1544303797, 143.551922419659, 2.66666666666667, 0.275222975276409, DEBUG
371.691358024691, 20802.0998417721, 144.229330726355, 2.66666666666667, 0.286492285770665, DEBUG
390.8875, 51433.6264199935, 226.789828740165, 2.54838709677419, 0.290152615886579, DEBUG
393.311688311688, 53030.7064912281, 230.283969244991, 2.53333333333333, 0.29790042151125, DEBUG
400.24, 54074.2310255461, 232.538665657017, 2.46666666666667, 0.287160160024161, DEBUG
404.472972972973, 56447.7081430746, 237.58726426952, 2.51724137931034, 0.248472771839707, DEBUG
403.24, 55353.3130322103, 235.272848055636, 2.46666666666667, 0.354099963985788, DEBUG
412.608108108108, 56703.0840943683, 238.124093897212, 2.43333333333333, 0.341892668621705, DEBUG
411.452054794521, 56632.4788732394, 237.975794721311, 2.4, 0.339367794762161, DEBUG
410.178082191781, 55343.1813380282, 235.251315273748, 2.48275862068966, 0.351880846255092, DEBUG
411.561643835616, 57169.7809076682, 239.102030329456, 2.4, 0.339639458973132, DEBUG
423.014084507042, 62764.3445134576, 250.528131181825, 2.33333333333333, 0.279116150988175, DEBUG
434.366197183099, 66700.8281573499, 258.265034716955, 2.33333333333333, 0.321155184944912, DEBUG
433.826086956522, 66513.0316066725, 257.901205128383, 2.3448275862069, 0.293543392151674, DEBUG
441.594202898551, 68926.678665496, 262.538908860184, 2.26666666666667, 0.29008432848259, DEBUG
446.791044776119, 69824.3731934732, 264.243019195348, 2.27586206896552, 0.236031200503873, DEBUG
